Symbol,Name,Industry,Market Cap
AGFS,AgroFresh Solutions,Chemicals,105358973
AGFY,Agrify,Machinery,152255422
AGGR,Agile Growth,Blank Check / SPAC,377037470
AGI,Alamos Gold,Metals & Mining,3417280765
AGIL,AgileThought,Software-Application,263971039
AGIO,Agios Pharmaceuticals,Biotechnology,1568096250
AGL,agilon health,Medical Care Facilities,8749691896
AGLE,Aeglea Biotherapeutics,Biotechnology,98230575
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1321731652
AGM.A,Federal Agricultural Mortgage,Credit Services,1321740000
AGMH,AGM Group Holdings,Capital Markets,39535324
AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6778467325
AGO,Assured Guaranty,Insurance,3778726142
AGR,Avangrid,Electric Utilities,17287768025
AGRI,AgriFORCE Growing Systems,Farm Products,47432385
AGRO,Adecoagro,Food Products,1372576380
AGRX,Agile Therapeutics,Pharmaceuticals,31562957
AGS,PlayAGS,"Hotels, Restaurants & Leisure",255448175
AGTC,Applied Genetic Technologies,Biotechnology,74253847
AGTI,Agiliti,Health Information Services,2310352125
AGX,Argan,Construction & Engineering,639273955
AGYS,Agilysys,Software,979180526
AHCO,AdaptHealth,Health Care Providers & Services,2076928636
AHG,Akso Health Group,Credit Services,96496111
AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1303353717
AHI,Advanced Human Imaging,Software-Application,25733716
AHPA,Avista Public Acquisition II,Blank Check / SPAC,287787510
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,10274659
AHRN,Ahren Acquisition,Blank Check / SPAC,370123006
AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,296520092
AI,C3.ai,Software,1914695928
AIB,AIB Acquisition,Blank Check / SPAC,113062105
AIG,American International Group,Insurance,46441205715
AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,53095275
AIHS,Senmiao Technology,Consumer Finance,18164437
AIKI,AIkido Pharma,Biotechnology,36311879
AIM,AIM ImmunoTech,Biotechnology,39052495
AIMC,Altra Industrial Motion,Machinery,2591954424
AIN,Albany International,Machinery,2679115724
AINC,Ashford,Capital Markets,53507100
AINV,Apollo Investment,Capital Markets,831868851
AIP,Arteris,Semiconductors,401436827
AIR,AAR Corp.,Aerospace & Defense,1607805282
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,8845055987
AIRG,Airgain,"Electronic Equipment, Instruments & C...",80776000
